window_id,config_id,smoothing,detector_width,band_half_width,search_mode,selection_rule,jw_selected_day,h_selected_day,jw_cluster_id,h_cluster_id,jw_minus_h_lag,lag_class,jw_day_std_all_configs,h_day_std_all_configs,dominant_source_of_lag_variation
W045,smooth9__narrow_w16_b8__narrow_search__baseline_rule,smooth9,16,8,narrow_search,baseline_rule,43.0,48.0,C01_041_043,C02_030_048,-5.0,Jw_before_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__narrow_search__max_score,smooth9,16,8,narrow_search,max_score,49.0,32.0,C02_048_049,C02_030_048,17.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__narrow_search__closest_anchor,smooth9,16,8,narrow_search,closest_anchor,43.0,48.0,C01_041_043,C02_030_048,-5.0,Jw_before_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__narrow_search__max_overlap,smooth9,16,8,narrow_search,max_overlap,43.0,48.0,C01_041_043,C02_030_048,-5.0,Jw_before_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__baseline_search__baseline_rule,smooth9,16,8,baseline_search,baseline_rule,43.0,38.0,C01_041_043,C02_030_048,5.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__baseline_search__max_score,smooth9,16,8,baseline_search,max_score,69.0,18.0,C03_069_069,C01_017_019,51.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__baseline_search__closest_anchor,smooth9,16,8,baseline_search,closest_anchor,43.0,38.0,C01_041_043,C02_030_048,5.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__baseline_search__max_overlap,smooth9,16,8,baseline_search,max_overlap,43.0,38.0,C01_041_043,C02_030_048,5.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__wide_search__baseline_rule,smooth9,16,8,wide_search,baseline_rule,43.0,32.0,C01_041_043,C02_030_048,11.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__wide_search__max_score,smooth9,16,8,wide_search,max_score,74.0,18.0,C04_074_074,C01_017_019,56.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__wide_search__closest_anchor,smooth9,16,8,wide_search,closest_anchor,43.0,32.0,C01_041_043,C02_030_048,11.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__narrow_w16_b8__wide_search__max_overlap,smooth9,16,8,wide_search,max_overlap,43.0,32.0,C01_041_043,C02_030_048,11.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__narrow_search__baseline_rule,smooth9,20,10,narrow_search,baseline_rule,43.0,43.0,C01_041_043,C02_030_048,0.0,near_tie,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__narrow_search__max_score,smooth9,20,10,narrow_search,max_score,49.0,31.0,C02_048_049,C02_030_048,18.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__narrow_search__closest_anchor,smooth9,20,10,narrow_search,closest_anchor,43.0,43.0,C01_041_043,C02_030_048,0.0,near_tie,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__narrow_search__max_overlap,smooth9,20,10,narrow_search,max_overlap,49.0,43.0,C02_048_049,C02_030_048,6.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__baseline_search__baseline_rule,smooth9,20,10,baseline_search,baseline_rule,41.0,35.0,C01_041_043,C02_030_048,6.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__baseline_search__max_score,smooth9,20,10,baseline_search,max_score,69.0,19.0,C03_069_069,C01_017_019,50.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__baseline_search__closest_anchor,smooth9,20,10,baseline_search,closest_anchor,43.0,37.0,C01_041_043,C02_030_048,6.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__baseline_search__max_overlap,smooth9,20,10,baseline_search,max_overlap,49.0,37.0,C02_048_049,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__wide_search__baseline_rule,smooth9,20,10,wide_search,baseline_rule,43.0,31.0,C01_041_043,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__wide_search__max_score,smooth9,20,10,wide_search,max_score,74.0,19.0,C04_074_074,C01_017_019,55.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__wide_search__closest_anchor,smooth9,20,10,wide_search,closest_anchor,43.0,31.0,C01_041_043,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__baseline_w20_b10__wide_search__max_overlap,smooth9,20,10,wide_search,max_overlap,49.0,31.0,C02_048_049,C02_030_048,18.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__narrow_search__baseline_rule,smooth9,24,12,narrow_search,baseline_rule,48.0,42.0,C02_048_049,C02_030_048,6.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__narrow_search__max_score,smooth9,24,12,narrow_search,max_score,48.0,30.0,C02_048_049,C02_030_048,18.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__narrow_search__closest_anchor,smooth9,24,12,narrow_search,closest_anchor,48.0,42.0,C02_048_049,C02_030_048,6.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__narrow_search__max_overlap,smooth9,24,12,narrow_search,max_overlap,48.0,36.0,C02_048_049,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__baseline_search__baseline_rule,smooth9,24,12,baseline_search,baseline_rule,48.0,37.0,C02_048_049,C02_030_048,11.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__baseline_search__max_score,smooth9,24,12,baseline_search,max_score,69.0,19.0,C03_069_069,C01_017_019,50.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__baseline_search__closest_anchor,smooth9,24,12,baseline_search,closest_anchor,48.0,37.0,C02_048_049,C02_030_048,11.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__baseline_search__max_overlap,smooth9,24,12,baseline_search,max_overlap,48.0,37.0,C02_048_049,C02_030_048,11.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__wide_search__baseline_rule,smooth9,24,12,wide_search,baseline_rule,48.0,31.0,C02_048_049,C02_030_048,17.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__wide_search__max_score,smooth9,24,12,wide_search,max_score,74.0,19.0,C04_074_074,C01_017_019,55.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__wide_search__closest_anchor,smooth9,24,12,wide_search,closest_anchor,48.0,31.0,C02_048_049,C02_030_048,17.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth9__wide_w24_b12__wide_search__max_overlap,smooth9,24,12,wide_search,max_overlap,48.0,31.0,C02_048_049,C02_030_048,17.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__narrow_search__baseline_rule,smooth5,16,8,narrow_search,baseline_rule,42.0,46.0,C01_041_043,C02_030_048,-4.0,Jw_before_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__narrow_search__max_score,smooth5,16,8,narrow_search,max_score,49.0,33.0,C02_048_049,C02_030_048,16.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__narrow_search__closest_anchor,smooth5,16,8,narrow_search,closest_anchor,42.0,46.0,C01_041_043,C02_030_048,-4.0,Jw_before_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__narrow_search__max_overlap,smooth5,16,8,narrow_search,max_overlap,42.0,46.0,C01_041_043,C02_030_048,-4.0,Jw_before_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__baseline_search__baseline_rule,smooth5,16,8,baseline_search,baseline_rule,42.0,39.0,C01_041_043,C02_030_048,3.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__baseline_search__max_score,smooth5,16,8,baseline_search,max_score,49.0,17.0,C02_048_049,C01_017_019,32.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__baseline_search__closest_anchor,smooth5,16,8,baseline_search,closest_anchor,42.0,39.0,C01_041_043,C02_030_048,3.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__baseline_search__max_overlap,smooth5,16,8,baseline_search,max_overlap,42.0,39.0,C01_041_043,C02_030_048,3.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__wide_search__baseline_rule,smooth5,16,8,wide_search,baseline_rule,42.0,39.0,C01_041_043,C02_030_048,3.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__wide_search__max_score,smooth5,16,8,wide_search,max_score,74.0,17.0,C04_074_074,C01_017_019,57.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__wide_search__closest_anchor,smooth5,16,8,wide_search,closest_anchor,42.0,39.0,C01_041_043,C02_030_048,3.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__narrow_w16_b8__wide_search__max_overlap,smooth5,16,8,wide_search,max_overlap,42.0,39.0,C01_041_043,C02_030_048,3.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__narrow_search__baseline_rule,smooth5,20,10,narrow_search,baseline_rule,48.0,48.0,C02_048_049,C02_030_048,0.0,near_tie,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__narrow_search__max_score,smooth5,20,10,narrow_search,max_score,48.0,32.0,C02_048_049,C02_030_048,16.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__narrow_search__closest_anchor,smooth5,20,10,narrow_search,closest_anchor,48.0,48.0,C02_048_049,C02_030_048,0.0,near_tie,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__narrow_search__max_overlap,smooth5,20,10,narrow_search,max_overlap,48.0,38.0,C02_048_049,C02_030_048,10.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__baseline_search__baseline_rule,smooth5,20,10,baseline_search,baseline_rule,48.0,38.0,C02_048_049,C02_030_048,10.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__baseline_search__max_score,smooth5,20,10,baseline_search,max_score,69.0,17.0,C03_069_069,C01_017_019,52.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__baseline_search__closest_anchor,smooth5,20,10,baseline_search,closest_anchor,48.0,38.0,C02_048_049,C02_030_048,10.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__baseline_search__max_overlap,smooth5,20,10,baseline_search,max_overlap,48.0,38.0,C02_048_049,C02_030_048,10.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__wide_search__baseline_rule,smooth5,20,10,wide_search,baseline_rule,48.0,38.0,C02_048_049,C02_030_048,10.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__wide_search__max_score,smooth5,20,10,wide_search,max_score,74.0,17.0,C04_074_074,C01_017_019,57.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__wide_search__closest_anchor,smooth5,20,10,wide_search,closest_anchor,48.0,38.0,C02_048_049,C02_030_048,10.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__baseline_w20_b10__wide_search__max_overlap,smooth5,20,10,wide_search,max_overlap,48.0,38.0,C02_048_049,C02_030_048,10.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__narrow_search__baseline_rule,smooth5,24,12,narrow_search,baseline_rule,48.0,42.0,C02_048_049,C02_030_048,6.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__narrow_search__max_score,smooth5,24,12,narrow_search,max_score,48.0,30.0,C02_048_049,C02_030_048,18.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__narrow_search__closest_anchor,smooth5,24,12,narrow_search,closest_anchor,48.0,42.0,C02_048_049,C02_030_048,6.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__narrow_search__max_overlap,smooth5,24,12,narrow_search,max_overlap,48.0,36.0,C02_048_049,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__baseline_search__baseline_rule,smooth5,24,12,baseline_search,baseline_rule,48.0,36.0,C02_048_049,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__baseline_search__max_score,smooth5,24,12,baseline_search,max_score,69.0,17.0,C03_069_069,C01_017_019,52.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__baseline_search__closest_anchor,smooth5,24,12,baseline_search,closest_anchor,48.0,36.0,C02_048_049,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__baseline_search__max_overlap,smooth5,24,12,baseline_search,max_overlap,48.0,36.0,C02_048_049,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__wide_search__baseline_rule,smooth5,24,12,wide_search,baseline_rule,48.0,36.0,C02_048_049,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__wide_search__max_score,smooth5,24,12,wide_search,max_score,74.0,17.0,C04_074_074,C01_017_019,57.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__wide_search__closest_anchor,smooth5,24,12,wide_search,closest_anchor,48.0,36.0,C02_048_049,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
W045,smooth5__wide_w24_b12__wide_search__max_overlap,smooth5,24,12,wide_search,max_overlap,48.0,36.0,C02_048_049,C02_030_048,12.0,Jw_after_H,9.736181572459174,8.838037988884057,BOTH_OR_NEAR_BALANCED
