window_id,mode,left_out_year,eof_loading_abs_corr,pc_score_corr_after_alignment,mode_sign_aligned,stability_flag,status
W081,1,2023,0.9816763146898739,0.9865845741368515,False,stable,ok
W081,2,2023,0.9808301498981387,0.9835391446998691,False,stable,ok
W081,3,2023,0.9981173585147264,0.99861959940929,True,stable,ok
W113,1,1979,0.9987669728762797,0.9996013139098978,False,stable,ok
W113,2,1979,0.9842374523904108,0.9884420425575866,False,stable,ok
W113,3,1979,0.9677481489031998,0.9757847229314527,False,stable,ok
W113,1,1980,0.9940279568270134,0.9975858548970374,True,stable,ok
W113,2,1980,0.9258556199480183,0.9406072084930296,True,stable,ok
W113,3,1980,0.9106578985116645,0.911055647878433,False,stable,ok
W113,1,1981,0.9909453148793239,0.9971472311887815,True,stable,ok
W113,2,1981,0.9834556137939601,0.987081287072595,True,stable,ok
W113,3,1981,0.9874409702435394,0.9876408039580157,False,stable,ok
W113,1,1982,0.999537185123947,0.9998664024596066,False,stable,ok
W113,2,1982,0.9594863148582303,0.9789139122446777,False,stable,ok
W113,3,1982,0.9785519545432527,0.9796194592527239,True,stable,ok
W113,1,1983,0.986109148307555,0.9945661462714633,True,stable,ok
W113,2,1983,0.8403422339031533,0.8705199283996595,True,stable,ok
W113,3,1983,0.8178080770830993,0.8086579405003559,False,stable,ok
W113,1,1984,0.9862220054807919,0.9974334963161974,False,stable,ok
W113,2,1984,0.9999197771718176,0.9999230559303379,False,stable,ok
W113,3,1984,0.9960911806873644,0.9969568173336383,True,stable,ok
W113,1,1985,0.9948206383470237,0.9988907577471721,False,stable,ok
W113,2,1985,0.9998719388136027,0.9998941215288678,False,stable,ok
W113,3,1985,0.9964704531859843,0.9976490776622536,True,stable,ok
W113,1,1986,0.9811751754226323,0.9928313120564372,False,stable,ok
W113,2,1986,0.9638248313143567,0.968168903420031,False,stable,ok
W113,3,1986,0.9681729084039883,0.9683325270519917,True,stable,ok
W113,1,1987,0.9738544172183655,0.9889348342193894,False,stable,ok
W113,2,1987,0.9498968258489077,0.955292784103209,False,stable,ok
W113,3,1987,0.9653676914630197,0.9631252317564041,True,stable,ok
W113,1,1988,0.9999994403376883,0.999999893452379,True,stable,ok
W113,2,1988,0.999844253277616,0.9999100578545261,True,stable,ok
W113,3,1988,0.995105869659541,0.9980983688541064,False,stable,ok
W113,1,1989,0.9958809489848769,0.9991334774616593,False,stable,ok
W113,2,1989,0.9996633061511367,0.9997630635413008,False,stable,ok
W113,3,1989,0.9955341360021502,0.9975118613286711,True,stable,ok
W113,1,1990,0.9980671548497145,0.9996388399570101,False,stable,ok
W113,2,1990,0.9988843182971838,0.9993470063331427,False,stable,ok
W113,3,1990,0.9979584335810492,0.9988257599906833,True,stable,ok
W113,1,1991,0.9988224953921573,0.9997584151183968,False,stable,ok
W113,2,1991,0.9984278300746174,0.9993989119026503,False,stable,ok
W113,3,1991,0.999991045721684,0.9999939255295572,True,stable,ok
W113,1,1992,0.9999921205466894,0.9999972839412613,True,stable,ok
W113,2,1992,0.9555792392333907,0.9681945992856983,True,stable,ok
W113,3,1992,0.951654570883064,0.9552250770752057,False,stable,ok
W113,1,1993,0.9816292003342719,0.9925716488963781,False,stable,ok
W113,2,1993,0.9717716972831785,0.9748981731966798,False,stable,ok
W113,3,1993,0.9737694085163033,0.9729893512292849,True,stable,ok
W113,1,1994,0.9742136881860545,0.9896232011039487,False,stable,ok
W113,2,1994,0.923499766107214,0.9327768034445133,False,stable,ok
W113,3,1994,0.9349929742286204,0.9296399784876803,True,stable,ok
W113,1,1995,0.9950864212240665,0.9993656694092982,False,stable,ok
W113,2,1995,0.9999895783596672,0.9999935289602604,False,stable,ok
W113,3,1995,0.9999457627613554,0.9999722630745618,True,stable,ok
W113,1,1996,0.9999971456732515,0.9999996427487526,False,stable,ok
W113,2,1996,0.9998994083538734,0.9999673623593085,False,stable,ok
W113,3,1996,0.9996703920352495,0.9998811714233533,True,stable,ok
W113,1,1997,0.9969727901815185,0.9996030805765146,True,stable,ok
W113,2,1997,0.9995182427739897,0.999762331981813,True,stable,ok
W113,3,1997,0.9995940327538196,0.9998052446454301,False,stable,ok
W113,1,1998,0.963725568141682,0.9894176484698801,True,stable,ok
W113,2,1998,0.9884000740085024,0.9886866872618146,True,stable,ok
W113,3,1998,0.9860682960212804,0.9878147600260467,False,stable,ok
W113,1,1999,0.9906152964688127,0.9974282326118511,False,stable,ok
W113,2,1999,0.9903951645874781,0.9929975434006076,False,stable,ok
W113,3,1999,0.9684984443042788,0.9796452791441894,True,stable,ok
W113,1,2000,0.9796033562057387,0.9956839566591269,False,stable,ok
W113,2,2000,0.9989173489965113,0.9988672691472502,False,stable,ok
W113,3,2000,0.9910921168637753,0.9918598815736123,True,stable,ok
W113,1,2001,0.9938062089278772,0.9990528994076939,True,stable,ok
W113,2,2001,0.9998126010989274,0.9998576591839101,True,stable,ok
W113,3,2001,0.9999090360103271,0.999943918582786,False,stable,ok
W113,1,2002,0.9936945741758696,0.9985911750710407,True,stable,ok
W113,2,2002,0.993765039560471,0.9969430681088374,True,stable,ok
W113,3,2002,0.9999130892765614,0.999936332189175,False,stable,ok
W113,1,2003,0.9848336037688126,0.9969615257039881,True,stable,ok
W113,2,2003,0.9990279693785673,0.9988800730829632,True,stable,ok
W113,3,2003,0.9999871931154677,0.999988131081849,False,stable,ok
W113,1,2004,0.9956810609148515,0.9990083133453439,True,stable,ok
W113,2,2004,0.997614541287834,0.9983670766891201,True,stable,ok
W113,3,2004,0.9995377035064701,0.9996454977903733,False,stable,ok
W113,1,2005,0.9999989272973159,0.9999997765169475,False,stable,ok
W113,2,2005,0.9976833802740864,0.9987113903366774,False,stable,ok
W113,3,2005,0.9967472610341727,0.9980312371732373,True,stable,ok
W113,1,2006,0.9983252207926286,0.9995989799035896,False,stable,ok
W113,2,2006,0.9967087222963819,0.9976978449979341,False,stable,ok
W113,3,2006,0.9918412081463507,0.9953491901045348,True,stable,ok
W113,1,2007,0.9989041104994921,0.999749908696522,True,stable,ok
W113,2,2007,0.9993982528331584,0.9995739399426561,True,stable,ok
W113,3,2007,0.9908431039877694,0.9963079283821321,False,stable,ok
W113,1,2008,0.9993948152015364,0.9998879588622369,True,stable,ok
W113,2,2008,0.9999073865988912,0.9999459027870794,True,stable,ok
W113,3,2008,0.9973979545320151,0.9988261409047888,False,stable,ok
W113,1,2009,0.9972166618245717,0.9995819492547021,True,stable,ok
W113,2,2009,0.9995228072689881,0.9997162632584026,True,stable,ok
W113,3,2009,0.9972369174525503,0.9987447688404818,False,stable,ok
W113,1,2010,0.9912898738970356,0.9970247194132571,True,stable,ok
W113,2,2010,0.9702119378419353,0.9787656868795438,True,stable,ok
W113,3,2010,0.9812284953761401,0.9820298298701381,False,stable,ok
W113,1,2011,0.9959088330445363,0.9993259802064639,True,stable,ok
W113,2,2011,0.9981167105066147,0.9987775578064133,True,stable,ok
W113,3,2011,0.9972396009208054,0.9983618467246088,False,stable,ok
W113,1,2012,0.9955933241008477,0.9988023533735094,True,stable,ok
W113,2,2012,0.9968245469594249,0.9975791501985188,True,stable,ok
W113,3,2012,0.9977016103606926,0.998089369561789,False,stable,ok
W113,1,2013,0.9994428615433129,0.9998031838955862,True,stable,ok
W113,2,2013,0.9637835376951923,0.9729078638560535,True,stable,ok
W113,3,2013,0.9630571517685222,0.9642785796270176,False,stable,ok
W113,1,2014,0.993897672252926,0.9978496207764523,True,stable,ok
W113,2,2014,0.9910513099339749,0.9926698083187713,True,stable,ok
W113,3,2014,0.9815087077803396,0.9846455874975747,False,stable,ok
W113,1,2015,0.9949354193218156,0.9985168845306642,True,stable,ok
W113,2,2015,0.9423769866628203,0.9633355425361377,True,stable,ok
W113,3,2015,0.9549449361820515,0.9581882431097666,False,stable,ok
W113,1,2016,0.9995951240857868,0.9998719515476011,True,stable,ok
W113,2,2016,0.9838615059991801,0.9882797660131345,True,stable,ok
W113,3,2016,0.9648043930237135,0.9757872061693845,False,stable,ok
W113,1,2017,0.984656432411883,0.9942980500169472,True,stable,ok
W113,2,2017,0.9588835595359746,0.9655458515254323,True,stable,ok
W113,3,2017,0.9628180637085147,0.9632674164740693,False,stable,ok
W113,1,2018,0.9633551166005159,0.9845248575809874,True,stable,ok
W113,2,2018,0.9611560551728967,0.9626257014053116,True,stable,ok
W113,3,2018,0.9908052089998509,0.9899210527187304,False,stable,ok
W113,1,2019,0.9989156865566663,0.9997539898635025,True,stable,ok
W113,2,2019,0.9946535212680867,0.9968925770814487,True,stable,ok
W113,3,2019,0.9925756215983478,0.9951266712598309,False,stable,ok
W113,1,2020,0.9677424923257321,0.9885576448197586,True,stable,ok
W113,2,2020,0.9933201788968379,0.9925446285203293,True,stable,ok
W113,3,2020,0.9824099954514094,0.9800439576311265,False,stable,ok
W113,1,2021,0.9875469474892961,0.9959391043011809,True,stable,ok
W113,2,2021,0.9521849967883763,0.9672815992447781,True,stable,ok
W113,3,2021,0.8189506411197492,0.8492489871730154,False,stable,ok
W113,1,2022,0.9777564956784982,0.9919380925268725,True,stable,ok
W113,2,2022,0.830947940844177,0.8624465694452507,True,stable,ok
W113,3,2022,0.7811817405917864,0.7762747293812076,False,unstable_or_mixed,ok
W113,1,2023,0.997718494681497,0.999472719718109,False,stable,ok
W113,2,2023,0.9965214988978199,0.9984667238754491,False,stable,ok
W113,3,2023,0.9996781556655758,0.9997593233904286,True,stable,ok
W160,1,1979,0.9969498784246118,0.9991369893528167,True,stable,ok
W160,2,1979,0.997625521984498,0.9986123306793839,False,stable,ok
W160,3,1979,0.9973439988511913,0.9981941595260098,True,stable,ok
W160,1,1980,0.994538233661252,0.9970293658932816,False,stable,ok
W160,2,1980,0.9290327204553444,0.9520868118811594,True,stable,ok
W160,3,1980,0.9497281000295015,0.9460459923316962,True,stable,ok
W160,1,1981,0.9944121973421031,0.998722935640363,False,stable,ok
W160,2,1981,0.9980862795887719,0.9987149183317434,True,stable,ok
W160,3,1981,0.999119395611574,0.99952610670533,True,stable,ok
W160,1,1982,0.9927337027338292,0.9969629006380918,False,stable,ok
W160,2,1982,0.9903681390607866,0.9937544689554126,True,stable,ok
W160,3,1982,0.9999710413977906,0.9999774354168995,True,stable,ok
W160,1,1983,0.9999978948320312,0.9999994862205809,True,stable,ok
W160,2,1983,0.9986234438718874,0.9994788833049472,False,stable,ok
W160,3,1983,0.988079253063723,0.9938080995985706,False,stable,ok
W160,1,1984,0.9859842356873881,0.9971722263263477,True,stable,ok
W160,2,1984,0.9982023400302684,0.9979667143489571,False,stable,ok
W160,3,1984,0.99945572282861,0.9995129481111591,False,stable,ok
W160,1,1985,0.9927368866013637,0.9973591045564086,False,stable,ok
W160,2,1985,0.9932680063404441,0.9953173596739223,True,stable,ok
W160,3,1985,0.9979692936192508,0.998460995323584,True,stable,ok
W160,1,1986,0.9812658109087152,0.9956710765094648,True,stable,ok
W160,2,1986,0.9982518467112946,0.9980628386114687,False,stable,ok
W160,3,1986,0.9966335453839111,0.9972242587251126,False,stable,ok
W160,1,1987,0.9917099753895591,0.9959693213441431,False,stable,ok
W160,2,1987,0.9709979847686332,0.9836913812388263,True,stable,ok
W160,3,1987,0.9964976026577117,0.996762685494,True,stable,ok
W160,1,1988,0.998746737483639,0.9995842989630862,False,stable,ok
W160,2,1988,0.9964402795304332,0.9980554061873991,True,stable,ok
W160,3,1988,0.912493277974987,0.9341013119316559,False,stable,ok
W160,1,1989,0.9935851292548002,0.9981427686707819,True,stable,ok
W160,2,1989,0.9991530452942265,0.9994241486115714,False,stable,ok
W160,3,1989,0.9592771766327934,0.9712298529586202,False,stable,ok
W160,1,1990,0.9943332840076997,0.9985850214956332,False,stable,ok
W160,2,1990,0.99971172632492,0.9998128860409423,True,stable,ok
W160,3,1990,0.9633569011913445,0.9743663254934952,False,stable,ok
W160,1,1991,0.9974733306510137,0.9991864412119528,False,stable,ok
W160,2,1991,0.9975911782472182,0.9985604108032071,True,stable,ok
W160,3,1991,0.9987115598767329,0.9991339673858959,True,stable,ok
W160,1,1992,0.9972722258654209,0.9993450765152414,False,stable,ok
W160,2,1992,0.9999978868618205,0.9999987632428525,True,stable,ok
W160,3,1992,0.9971764386527676,0.9980981871043559,True,stable,ok
W160,1,1993,0.9928664172795024,0.9962480222668927,False,stable,ok
W160,2,1993,0.9848193021995968,0.9895211438275201,True,stable,ok
W160,3,1993,0.9916308124483891,0.9923681261457219,True,stable,ok
W160,1,1994,0.9991686167187716,0.9997826838800896,True,stable,ok
W160,2,1994,0.9998128333037913,0.9999099530025244,False,stable,ok
W160,3,1994,0.94503809048676,0.9714228409588539,False,stable,ok
W160,1,1995,0.9986879394598398,0.9995283099495793,False,stable,ok
W160,2,1995,0.9878574236691772,0.9937396902713835,True,stable,ok
W160,3,1995,0.8712892963160299,0.9003686607593676,True,stable,ok
W160,1,1996,0.998538823754635,0.9995344756816458,False,stable,ok
W160,2,1996,0.9966924756554375,0.9983914117238207,True,stable,ok
W160,3,1996,0.9923638270896743,0.9948094550124308,True,stable,ok
W160,1,1997,0.9952956533220068,0.9983589765969484,False,stable,ok
W160,2,1997,0.9930347864642987,0.9956645897908593,True,stable,ok
W160,3,1997,0.9553745126103167,0.9748459316003737,True,stable,ok
W160,1,1998,0.9654794718865799,0.9879488225738969,True,stable,ok
W160,2,1998,0.9926821057506467,0.9919875497037735,False,stable,ok
W160,3,1998,0.9914061691825461,0.9925062475552517,False,stable,ok
W160,1,1999,0.999910803529631,0.9999816388763734,False,stable,ok
W160,2,1999,0.9999944738333568,0.9999979640301547,False,stable,ok
W160,3,1999,0.9854713767169166,0.9923568889991413,False,stable,ok
W160,1,2000,0.9907689457836375,0.9972608258140027,False,stable,ok
W160,2,2000,0.9941619232736616,0.9961968006910397,True,stable,ok
W160,3,2000,0.9997935609657695,0.9998697948187083,True,stable,ok
W160,1,2001,0.9986251294034626,0.9996835266536198,False,stable,ok
W160,2,2001,0.9997152771632575,0.9998637942671038,True,stable,ok
W160,3,2001,0.9836809119619552,0.99102243420137,True,stable,ok
W160,1,2002,0.9995585588020323,0.9998701707661808,False,stable,ok
W160,2,2002,0.9947883741327812,0.9976712242447786,True,stable,ok
W160,3,2002,0.9773571478814287,0.9876621303246035,True,stable,ok
W160,1,2003,0.988720076730275,0.9959695152020072,True,stable,ok
W160,2,2003,0.9950232793042446,0.9955456907274589,False,stable,ok
W160,3,2003,0.9905920391681021,0.9925731501111786,False,stable,ok
W160,1,2004,0.9996296156333969,0.9999087204301678,True,stable,ok
W160,2,2004,0.9989999663995974,0.99956912585755,False,stable,ok
W160,3,2004,0.9906788449270902,0.9945620686014629,False,stable,ok
W160,1,2005,0.9980856742187625,0.9994135763595287,True,stable,ok
W160,2,2005,0.9969747109064921,0.9983627058200614,False,stable,ok
W160,3,2005,0.9869279296881689,0.9914383480054483,False,stable,ok
W160,1,2006,0.996530772231291,0.9984093750270876,True,stable,ok
W160,2,2006,0.9936556254153684,0.9960745273204668,False,stable,ok
W160,3,2006,0.9979107207889054,0.9983333079710831,False,stable,ok
W160,1,2007,0.9996605142331242,0.9998569821910704,True,stable,ok
W160,2,2007,0.9810484597537227,0.9925910120791405,False,stable,ok
W160,3,2007,0.9806207802603367,0.9854212818137137,False,stable,ok
W160,1,2008,0.9996530802937652,0.9999001436399512,True,stable,ok
W160,2,2008,0.9997583114084007,0.9998685503515172,False,stable,ok
W160,3,2008,0.9488357902522558,0.962893659891146,False,stable,ok
W160,1,2009,0.9942331252924737,0.9979986203793336,True,stable,ok
W160,2,2009,0.9905305110887725,0.9946420788573033,False,stable,ok
W160,3,2009,0.9869089744701124,0.9911708751965709,False,stable,ok
W160,1,2010,0.9647434318357747,0.9818476827844571,True,stable,ok
W160,2,2010,0.9182449344344387,0.9343497867438245,False,stable,ok
W160,3,2010,0.9935699110891183,0.9934370812098872,False,stable,ok
W160,1,2011,0.9999509969709691,0.9999932700913363,False,stable,ok
W160,2,2011,0.9999998205848581,0.9999999461799172,True,stable,ok
W160,3,2011,0.9960966800693555,0.9984881697632462,True,stable,ok
W160,1,2012,0.9958485346222445,0.9983935753186577,True,stable,ok
W160,2,2012,0.9945652577294167,0.9967288942101225,False,stable,ok
W160,3,2012,0.9936701078012613,0.9957633732793578,False,stable,ok
W160,1,2013,0.9995896647120912,0.9998223338083196,True,stable,ok
W160,2,2013,0.9905001322903204,0.9963314478221598,False,stable,ok
W160,3,2013,0.9999683347135605,0.9999747637999555,False,stable,ok
W160,1,2014,0.9823778618934396,0.9897450361333817,False,stable,ok
W160,2,2014,0.9695399421678897,0.9757671308507252,True,stable,ok
W160,3,2014,0.9986465540102819,0.9987238644179091,True,stable,ok
W160,1,2015,0.9992738855862122,0.9997003331379773,False,stable,ok
W160,2,2015,0.9855953114045831,0.9939352523332317,True,stable,ok
W160,3,2015,0.9838357856590488,0.9886874008922762,True,stable,ok
W160,1,2016,0.9939684735880113,0.997250553902458,True,stable,ok
W160,2,2016,0.9820439836498017,0.9892459173023149,False,stable,ok
W160,3,2016,0.9815312355062908,0.9848265566864817,False,stable,ok
W160,1,2017,0.9873157348056619,0.9958095837248545,False,stable,ok
W160,2,2017,0.9956031851155005,0.9958309115769008,True,stable,ok
W160,3,2017,0.9999783933203634,0.9999840110356876,True,stable,ok
W160,1,2018,0.9969462423976992,0.998765227096819,False,stable,ok
W160,2,2018,0.9922395841585194,0.9963116922511557,True,stable,ok
W160,3,2018,0.9995177698334162,0.9996264503588499,True,stable,ok
W160,1,2019,0.9999162844141222,0.9999829015624366,True,stable,ok
W160,2,2019,0.99788866525481,0.9995036440427814,False,stable,ok
W160,3,2019,0.9984315402029096,0.9992425641199817,False,stable,ok
W160,1,2020,0.9872693050765267,0.9958528634116526,False,stable,ok
W160,2,2020,0.9933747842987009,0.9947736300131996,True,stable,ok
W160,3,2020,0.9785462159361092,0.9851301972610882,True,stable,ok
W160,1,2021,0.9734012406078826,0.9922383369385337,False,stable,ok
W160,2,2021,0.9971733050175502,0.9970954709868551,True,stable,ok
W160,3,2021,0.9943121132747179,0.9953816600840436,True,stable,ok
W160,1,2022,0.9676125263411346,0.9831952320905254,True,stable,ok
W160,2,2022,0.8853384797203034,0.9008162775257067,False,stable,ok
W160,3,2022,0.9234566751094496,0.9224067863956952,False,stable,ok
W160,1,2023,0.99656919869375,0.9986228430559884,True,stable,ok
W160,2,2023,0.9881317257447798,0.993969368236543,False,stable,ok
W160,3,2023,0.9882559097690878,0.9911846567663238,False,stable,ok
